title,rating,movieId,userId,# of ratings
'71 (2014),4.0,117867.0,610.0,1
'Hellboy': The Seeds of Creation (2004),4.0,97757.0,332.0,1
'Round Midnight (1986),3.5,26564.0,354.5,2
'Salem's Lot (2004),5.0,27751.0,345.0,1
'Til There Was You (1997),4.0,779.0,229.0,2
'Tis the Season for Love (2015),1.5,149380.0,21.0,1
"'burbs, The (1989)",3.176470588235294,2072.0,321.88235294117646,17
'night Mother (1986),3.0,3112.0,474.0,1
(500) Days of Summer (2009),3.6666666666666665,69757.0,279.8333333333333,42
*batteries not included (1987),3.2857142857142856,8169.0,497.2857142857143,7
...All the Marbles (1981),2.0,5706.0,377.0,1
...And Justice for All (1979),3.1666666666666665,3420.0,391.3333333333333,3
00 Schneider - Jagd auf Nihil Baxter (1994),4.5,157110.0,18.0,1
1-900 (06) (1994),4.0,889.0,44.0,1
10 (1979),3.375,6658.0,305.0,4
10 Cent Pistol (2015),1.25,139717.0,234.5,2
10 Cloverfield Lane (2016),3.6785714285714284,152077.0,310.7857142857143,14
10 Items or Less (2006),2.6666666666666665,49284.0,461.6666666666667,3
10 Things I Hate About You (1999),3.5277777777777777,2572.0,358.48148148148147,54
10 Years (2011),3.5,98230.0,448.0,1
"10,000 BC (2008)",2.7058823529411766,58293.0,301.88235294117646,17
100 Girls (2000),3.25,7541.0,162.25,4
100 Streets (2016),2.5,168350.0,448.0,1
101 Dalmatians (1996),3.074468085106383,1367.0,285.25531914893617,47
101 Dalmatians (One Hundred and One Dalmatians) (1961),3.4318181818181817,2085.0,302.15909090909093,44
101 Dalmatians II: Patch's London Adventure (2003),2.5,121099.0,517.0,1
101 Reykjavik (101 Reykjavík) (2000),3.5,6344.0,390.0,1
102 Dalmatians (2000),2.7777777777777777,3991.0,331.3333333333333,9
10th & Wolf (2006),4.5,55391.0,158.0,1
"10th Kingdom, The (2000)",2.75,27251.0,569.5,2
"10th Victim, The (La decima vittima) (1965)",4.0,4434.0,377.0,1
"11'09""01 - September 11 (2002)",4.0,7789.0,540.0,2
11:14 (2003),3.75,27674.0,311.0,4
"11th Hour, The (2007)",4.0,66320.0,158.0,1
12 Angry Men (1957),4.149122807017544,1203.0,280.3859649122807,57
12 Angry Men (1997),5.0,77846.0,177.0,1
12 Chairs (1971),4.5,141844.0,105.0,1
12 Chairs (1976),5.0,141816.0,105.0,1
12 Rounds (2009),3.0,70361.0,307.0,3
12 Years a Slave (2013),3.625,105844.0,287.375,16
127 Hours (2010),3.8333333333333335,81562.0,343.5,18
13 Assassins (Jûsan-nin no shikaku) (2010),4.0,86142.0,467.5,4
13 Ghosts (1960),3.125,4792.0,249.5,4
13 Going on 30 (2004),3.1904761904761907,7444.0,363.3333333333333,21
13 Hours (2016),3.3,138210.0,369.4,5
13 Sins (2014),3.5,110286.0,610.0,1
13 Tzameti (2005),4.5,48872.0,105.0,1
13th (2016),4.5,164917.0,323.0,2
"13th Warrior, The (1999)",2.9038461538461537,2826.0,338.65384615384613,26
1408 (2007),3.16,53953.0,304.2,25
1492: Conquest of Paradise (1992),2.5,8905.0,599.0,1
15 Minutes (2001),3.0,4167.0,350.2,10
16 Blocks (2006),3.0,43936.0,287.22222222222223,9
17 Again (2009),3.55,68135.0,367.9,10
1776 (1972),3.5,5472.0,177.5,2
18 Again! (1988),1.5,4462.0,444.0,2
187 (One Eight Seven) (1997),2.6666666666666665,1609.0,540.3333333333334,3
1900 (Novecento) (1976),4.5,26359.0,462.0,1
1941 (1979),2.6666666666666665,7104.0,413.0,3
1969 (1988),2.0,4463.0,414.0,1
1984 (Nineteen Eighty-Four) (1984),3.7142857142857144,2117.0,376.7142857142857,14
2 Days in New York (2012),2.5,95744.0,448.0,1
2 Days in Paris (2007),3.5,54796.0,489.0,1
2 Days in the Valley (1996),3.0416666666666665,999.0,280.25,12
"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)",2.6052631578947367,6383.0,261.7368421052632,19
2 Guns (2013),4.0,103883.0,296.6666666666667,3
20 Dates (1998),3.0,2492.0,191.28571428571428,7
20 Feet from Stardom (Twenty Feet from Stardom) (2013),4.25,103107.0,493.5,2
20 Million Miles to Earth (1957),5.0,5468.0,377.0,1
"20,000 Days on Earth (2014)",4.0,114066.0,18.0,1
"20,000 Leagues Under the Sea (1916)",3.75,62383.0,246.5,2
